
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000121                       # Number of seconds simulated (Second)
simTicks                                    120755000                       # Number of ticks simulated (Tick)
finalTick                                   120755000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      3.38                       # Real time elapsed on the host (Second)
hostTickRate                                 35712015                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1233768                       # Number of bytes of host memory used (Byte)
simInsts                                       213253                       # Number of instructions simulated (Count)
simOps                                         215607                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    63053                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      63748                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           120756                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.566257                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.765983                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          226300                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      320                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         225188                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     77                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                11012                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              5174                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 104                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              106495                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.114541                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.042699                       # Number of insts issued each cycle (Count)
system.l1i.demandMshrMisses::total                447                       # number of demand (read+write) MSHR misses (Count)
system.l1i.overallMshrMisses::cpu.inst            447                       # number of overall MSHR misses (Count)
system.l1i.overallMshrMisses::total               447                       # number of overall MSHR misses (Count)
system.l1i.demandMshrMissLatency::cpu.inst     33207000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l1i.demandMshrMissLatency::total      33207000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l1i.overallMshrMissLatency::cpu.inst     33207000                       # number of overall MSHR miss ticks (Tick)
system.l1i.overallMshrMissLatency::total     33207000                       # number of overall MSHR miss ticks (Tick)
system.l1i.demandMshrMissRate::cpu.inst      0.013319                       # mshr miss ratio for demand accesses (Ratio)
system.l1i.demandMshrMissRate::total         0.013319                       # mshr miss ratio for demand accesses (Ratio)
system.l1i.overallMshrMissRate::cpu.inst     0.013319                       # mshr miss ratio for overall accesses (Ratio)
system.l1i.overallMshrMissRate::total        0.013319                       # mshr miss ratio for overall accesses (Ratio)
system.l1i.demandAvgMshrMissLatency::cpu.inst 74288.590604                       # average overall mshr miss latency ((Tick/Count))
system.l1i.demandAvgMshrMissLatency::total 74288.590604                       # average overall mshr miss latency ((Tick/Count))
system.l1i.overallAvgMshrMissLatency::cpu.inst 74288.590604                       # average overall mshr miss latency ((Tick/Count))
system.l1i.overallAvgMshrMissLatency::total 74288.590604                       # average overall mshr miss latency ((Tick/Count))
system.l1i.replacements                            38                       # number of replacements (Count)
system.l1i.ReadReq.hits::cpu.inst               32963                       # number of ReadReq hits (Count)
system.l1i.ReadReq.hits::total                  32963                       # number of ReadReq hits (Count)
system.l1i.ReadReq.misses::cpu.inst               598                       # number of ReadReq misses (Count)
system.l1i.ReadReq.misses::total                  598                       # number of ReadReq misses (Count)
system.l1i.ReadReq.missLatency::cpu.inst     41519000                       # number of ReadReq miss ticks (Tick)
system.l1i.ReadReq.missLatency::total        41519000                       # number of ReadReq miss ticks (Tick)
system.l1i.ReadReq.accesses::cpu.inst           33561                       # number of ReadReq accesses(hits+misses) (Count)
system.l1i.ReadReq.accesses::total              33561                       # number of ReadReq accesses(hits+misses) (Count)
system.l1i.ReadReq.missRate::cpu.inst        0.017818                       # miss rate for ReadReq accesses (Ratio)
system.l1i.ReadReq.missRate::total           0.017818                       # miss rate for ReadReq accesses (Ratio)
system.l1i.ReadReq.avgMissLatency::cpu.inst 69429.765886                       # average ReadReq miss latency ((Tick/Count))
system.l1i.ReadReq.avgMissLatency::total 69429.765886                       # average ReadReq miss latency ((Tick/Count))
system.l1i.ReadReq.mshrHits::cpu.inst             151                       # number of ReadReq MSHR hits (Count)
system.l1i.ReadReq.mshrHits::total                151                       # number of ReadReq MSHR hits (Count)
system.l1i.ReadReq.mshrMisses::cpu.inst           447                       # number of ReadReq MSHR misses (Count)
system.l1i.ReadReq.mshrMisses::total              447                       # number of ReadReq MSHR misses (Count)
system.l1i.ReadReq.mshrMissLatency::cpu.inst     33207000                       # number of ReadReq MSHR miss ticks (Tick)
system.l1i.ReadReq.mshrMissLatency::total     33207000                       # number of ReadReq MSHR miss ticks (Tick)
system.l1i.ReadReq.mshrMissRate::cpu.inst     0.013319                       # mshr miss rate for ReadReq accesses (Ratio)
system.l1i.ReadReq.mshrMissRate::total       0.013319                       # mshr miss rate for ReadReq accesses (Ratio)
system.l1i.ReadReq.avgMshrMissLatency::cpu.inst 74288.590604                       # average ReadReq mshr miss latency ((Tick/Count))
system.l1i.ReadReq.avgMshrMissLatency::total 74288.590604                       # average ReadReq mshr miss latency ((Tick/Count))
system.l1i.power_state.pwrStateResidencyTicks::UNDEFINED    120755000                       # Cumulative time (in ticks) in various power states (Tick)
system.l1i.tags.tagsInUse                  269.683236                       # Average ticks per tags in use ((Tick/Count))
system.l1i.tags.totalRefs                       33410                       # Total number of references to valid blocks. (Count)
system.l1i.tags.sampledRefs                       447                       # Sample count of references to valid blocks. (Count)
system.l1i.tags.avgRefs                     74.742729                       # Average number of references to valid blocks. ((Count/Count))
system.l1i.tags.warmupTick                      83000                       # The tick when the warmup percentage was hit. (Tick)
system.l1i.tags.occupancies::cpu.inst      269.683236                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.l1i.tags.avgOccs::cpu.inst            0.526725                       # Average percentage of cache occupancy ((Ratio/Tick))
system.l1i.tags.avgOccs::total               0.526725                       # Average percentage of cache occupancy ((Ratio/Tick))
system.l1i.tags.occupanciesTaskId::1024           409                       # Occupied blocks per task id (Count)
system.l1i.tags.ageTaskId_1024::0                  74                       # Occupied blocks per task id, per block age (Count)
system.l1i.tags.ageTaskId_1024::1                 125                       # Occupied blocks per task id, per block age (Count)
system.l1i.tags.ageTaskId_1024::2                 210                       # Occupied blocks per task id, per block age (Count)
system.l1i.tags.ratioOccsTaskId::1024        0.798828                       # Ratio of occupied blocks and all blocks, per task id (Ratio)
system.l1i.tags.tagAccesses                    134691                       # Number of tag accesses (Count)
system.l1i.tags.dataAccesses                   134691                       # Number of data accesses (Count)
system.l1i.tags.power_state.pwrStateResidencyTicks::UNDEFINED    120755000                       # Cumulative time (in ticks) in various power states (Tick)
system.l2bus.transDist::ReadResp                 1221                       # Transaction distribution (Count)
system.l2bus.transDist::WritebackDirty            118                       # Transaction distribution (Count)
system.l2bus.transDist::CleanEvict                580                       # Transaction distribution (Count)
system.l2bus.transDist::HardPFReq                1037                       # Transaction distribution (Count)
system.l2bus.transDist::ReadExReq                 391                       # Transaction distribution (Count)
system.l2bus.transDist::ReadExResp                391                       # Transaction distribution (Count)
system.l2bus.transDist::ReadCleanReq              447                       # Transaction distribution (Count)
system.l2bus.transDist::ReadSharedReq             775                       # Transaction distribution (Count)
system.l2bus.transDist::InvalidateReq               7                       # Transaction distribution (Count)
system.l2bus.transDist::InvalidateResp              7                       # Transaction distribution (Count)
system.l2bus.pktCount_system.l1i.mem_side_port::system.l2cache.cpu_side_port          932                       # Packet count per connected requestor and responder (Count)
system.l2bus.pktCount_system.l1d.mem_side_port::system.l2cache.cpu_side_port         3005                       # Packet count per connected requestor and responder (Count)
system.l2bus.pktCount::total                     3937                       # Packet count per connected requestor and responder (Count)
system.l2bus.pktSize_system.l1i.mem_side_port::system.l2cache.cpu_side_port        28608                       # Cumulative packet size per connected requestor and responder (Byte)
system.l2bus.pktSize_system.l1d.mem_side_port::system.l2cache.cpu_side_port        82112                       # Cumulative packet size per connected requestor and responder (Byte)
system.l2bus.pktSize::total                    110720                       # Cumulative packet size per connected requestor and responder (Byte)
